,0,1,name
0,Price,0.4,AIDA
1,Mkt Cap,103.0,AIDA
2,Vol,67.8,AIDA
3,P/E,-0.0,AIDA
4,P/CF,-0.0,AIDA
5,EPS (TTM),-26.8,AIDA
6,% ch,-2.6,AIDA
7,No. of shares,277.96,AIDA
8,% ch week,-2.6,AIDA
9,% ch 1-mth,-5.1,AIDA
10,% ch 12-mth,-27.5,AIDA
11,52 week H/L,0.6/0.3,AIDA
12,52weekHigh,0.6,AIDA
13,52weekLow,0.3,AIDA
14,Indian Promoters,71.1%,AIDA
15,Foreign collaborators,0.0%,AIDA
16,Indian inst/Mut Fund,7.9%,AIDA
17,FIIs,8.6%,AIDA
18,ADR/GDR,0.0%,AIDA
19,Free float,12.4%,AIDA
20,Shareholders,21386,AIDA
21,Pledged promoter(s) holding,0.0%,AIDA
22,REGD OFF,"Old Manesar Road, Village Narsinghpur, Mohammadpur, Gurgaon-122 001",AIDA
23,E-MAIL,shuchita.bhartiya@amtek.com,AIDA
24,TELEPHONE,(011) 4164 9800,AIDA
25,SECTOR,"AUTO ANCILLARIES,FORGINGS",AIDA
26,TR AGENT,"Beetal House, 3rd Floor, 99 Madangir, Harsukhdas Mandir, New Delhi-62",AIDA
27,AUDITOR,Manoj Mohan & Assoc.,AIDA
28,CHM, Sanjay Chhabra,AIDA
29,COMP SEC, Vishal Wason,AIDA
30,YEAR OF INC, 1982,AIDA
31,BSE CODE, 532282,AIDA
32,FV (Rs), 2,AIDA
33,DIV YIELD (%), -,AIDA
